icr02.mnz21,et-0/0/5,22,10.1.11.70/31,fd57:efb3:300::1b5/126,icr02.sn8,et-0/0/5,22,10.1.11.71/31,fd57:efb3:300::1b6/126
icr02.mnz21,et-1/0/5,23,10.1.11.72/31,fd57:efb3:300::1b9/126,icr02.sn8,et-1/0/5,23,10.1.11.73/31,fd57:efb3:300::1ba/126
icr02.mnz21,et-7/0/5,24,10.1.11.74/31,fd57:efb3:300::1bd/126,icr02.sn8,et-7/0/5,24,10.1.11.75/31,fd57:efb3:300::1be/126
icr02.sn8,xe-0/1/0:0,28,10.1.12.20/31,fd57:efb3:300::19d/126,car02.sea90,et-0/0/8:0,28,10.1.12.21/31,fd57:efb3:300::19e/126
icr02.sn8,xe-1/1/0:0,27,10.1.12.16/31,fd57:efb3:300::195/126,car02.was90,et-0/0/8:0,27,10.1.12.17/31,fd57:efb3:300::196/126
icr01.red31,xe-0/1/0:0,26,10.1.8.2/31,fd35:eef2:300::25/126,car21.was90,et-0/0/7:0,26,10.1.8.3/31,fd35:eef2:300::26/126
icr02.red31,xe-0/1/0:0,26,10.1.8.6/31,fd35:eef2:300::2d/126,car22.was90,et-0/0/7:0,26,10.1.8.7/31,fd35:eef2:300::2e/126
icr01.grn31,xe-0/1/0:0,25,10.1.8.0/31,fd35:eef2:300::21/126,car21.was90,et-0/0/8:0,25,10.1.8.1/31,fd35:eef2:300::22/126
icr02.grn31,xe-0/1/0:0,25,10.1.8.4/31,fd35:eef2:300::29/126,car22.was90,et-0/0/8:0,25,10.1.8.5/31,fd35:eef2:300::2a/126
icr01.grn30,xe-0/1/0:0,28,10.1.8.16/31,fd35:eef2:300::35/126,car21.sea90,et-0/0/7:0,28,10.1.8.17/31,fd35:eef2:300::36/126
icr02.grn30,xe-0/1/0:0,28,10.1.8.20/31,fd35:eef2:300::3d/126,car22.sea90,et-0/0/7:0,28,10.1.8.21/31,fd35:eef2:300::3e/126
icr01.red30,xe-0/1/0:0,27,10.1.8.18/31,fd35:eef2:300::39/126,car21.sea90,et-0/0/8:0,27,10.1.8.19/31,fd35:eef2:300::3a/126
icr02.red30,xe-0/1/0:0,27,10.1.8.22/31,fd35:eef2:300::41/126,car22.sea90,et-0/0/8:0,27,10.1.8.23/31,fd35:eef2:300::42/126
icr01.red30,et-0/0/2,21,10.61.9.146/31,fd35:eef2:e000:1::55/126,icr02.red30,et-0/0/2,21, 10.61.9.147/31, fd35:eef2:e000:1::56/126
icr01.red30,et-1/0/2,21,10.61.9.146/31,fd35:eef2:e000:1::55/126,icr02.red30,et-1/0/2,21, 10.61.9.147/31, fd35:eef2:e000:1::56/126
icr01.red31,et-0/0/2,21,10.61.9.156/31,fd35:eef2:e000:1::75/126,icr02.red31,et-0/0/2,21,10.61.9.157/31,fd35:eef2:e000:1::76/126
icr01.red31,et-1/0/2,21,10.61.9.156/31,fd35:eef2:e000:1::75/126,icr02.red31,et-1/0/2,21,10.61.9.157/31,fd35:eef2:e000:1::76/126
icr01.red31,et-0/0/5,21,10.61.9.151/31,fd35:eef2:e000:1::66/126,icr01.red30,et-0/0/5,31,10.61.9.150/31,fd35:eef2:e000:1::65/126
icr01.red31,et-1/0/5,21,10.61.9.151/31,fd35:eef2:e000:1::66/126,icr01.red30,et-1/0/5,31,10.61.9.150/31,fd35:eef2:e000:1::65/126
icr02.red31,et-0/0/5,21,10.61.9.159/31,fd35:eef2:e000:1::72/126,icr02.red30,et-0/0/5,22,10.61.9.158/31,fd35:eef2:e000:1::71/126
icr02.red31,et-1/0/5,21,10.61.9.159/31,fd35:eef2:e000:1::72/126,icr02.red30,et-1/0/5,22,10.61.9.158/31,fd35:eef2:e000:1::71/126
icr01.grn30,et-0/0/2,21,10.61.9.130/31,fd35:eef2:300::1/126,icr02.grn30,et-0/0/2,21,10.61.9.131/31,fd35:eef2:300::2/126
icr01.grn30,et-1/0/2,21,10.61.9.130/31,fd35:eef2:300::1/126,icr02.grn30,et-1/0/2,21,10.61.9.131/31,fd35:eef2:300::2/126
icr02.grn30,et-0/0/5,23,10.61.9.142/31,fd35:eef2:e000:1::31/126,icr02.grn31,et-0/0/5,23,10.61.9.143/31,fd35:eef2:e000:1::32/126
icr02.grn30,et-1/0/5,23,10.61.9.142/31,fd35:eef2:e000:1::31/126,icr02.grn31,et-1/0/5,23,10.61.9.143/31,fd35:eef2:e000:1::32/126
icr01.grn31,et-0/0/2,21,10.61.9.138/31,fd35:eef2:e000:1::21/126,icr02.grn31,et-0/0/2,21,10.61.9.139/31,fd35:eef2:e000:1::22/126
icr01.grn31,et-1/0/2,21,10.61.9.138/31,fd35:eef2:e000:1::21/126,icr02.grn31,et-1/0/2,21,10.61.9.139/31,fd35:eef2:e000:1::22/126
icr01.grn31,et-0/0/5,22,10.61.9.141/31,fd35:eef2:e000:1::26/126,icr01.grn30,et-0/0/5,22,10.61.9.140/31,fd35:eef2:e000:1::25/126
icr01.grn31,et-1/0/5,22,10.61.9.141/31,fd35:eef2:e000:1::26/126,icr01.grn30,et-1/0/5,22,10.61.9.140/31,fd35:eef2:e000:1::25/126
icr01.red30,et-7/0/5,3,10.61.9.160/31,fd35:eef2:e000:1::61/126,icr01.grn30,et-7/0/5,3,10.61.9.161/31,fd35:eef2:e000:1::62/126
icr01.red30,et-7/1/2,5,10.61.9.175/31,fd35:eef2:e000:1::102/126,icr01.grn30,et-7/1/2,5,10.61.9.174/31,fd35:eef2:e000:1::101/126
icr02.red30,et-8/1/5,4,10.61.9.163/31,fd35:eef2:e000:1::82/126,icr02.grn30,et-8/1/5,4,10.61.9.162/31,fd35:eef2:e000:1::81/126
icr01.red31,et-7/0/5,3,10.61.9.169/31,fd35:eef2:e000:1::86/126,icr01.grn31,et-7/0/5,3,10.61.9.168/31,fd35:eef2:e000:1::85/126
icr01.red31,et-7/1/2,4,10.61.9.171/31,fd35:eef2:e000:1::92/126,icr01.grn31,et-7/1/2,4,10.61.9.170/31,fd35:eef2:e000:1::91/126
icr02.red31,et-8/1/5,5,10.61.9.173/31,fd35:eef2:e000:1::96/126,icr02.grn31,et-8/1/5,5,10.61.9.172/31,fd35:eef2:e000:1::95/126
